inputdata[15]	correcteddata[11]
000110111110101	00011011111
010101101100111	01010111101
001011010010001	00101100010
101001100011000	10100110010
000001100110111	00000110111
110001111111101	11000111111
110010000010111	01001000011
010001110111101	01000110111
100111000011011	10011100010
101010011001101	10101001001
100011100001110	10001110001
000001101010110	00000111011
110111010110011	11011100110
100000000101010	00000000100
000111101101110	00011111101
100101011001010	10010101000
000011011111001	00001101110
111111001100111	11111101101
001101101010000	00110111010
000010101000100	00001011101
100000010111100	10000000110
000000100111011	00100010110
001100010011000	00110000010
010111001111011	01011101110
110111010010110	11011100011
111010010100011	11101100100
000011001111110	00001101111
001111000011101	00111100010
111000101000101	11100011001
011110011111100	11111001111
100001000110011	10000100100
011111100100001	01111110100
101111010010001	10111100011
101101000011011	10110100110
100000010010010	10000000010
000010100011100	00001010011
101111010001001	10111100000
011110001011010	01111001010
001011100100011	00101110100
001111000011110	00111100011
101010101000111	10101010001
001111110000001	00111110000
100001000111010	10000100110
110011111110000	11001111100
100010111100111	10001011101
101111010001011	10111100000
011010000111010	01001000110
010001001111100	01000100111
111010001110101	11101001111
000001111000111	00010111001
100110001010101	10011001011
110011000101101	11001100101
100110100011111	10011010011
000001011100011	00000101100
111101011010111	11110101011
101011001001000	10101101000
000001101111111	00000111110
011101111101110	01110111101
111001010101001	11000100100
001010110000111	00101011001
111111010101001	11111000100
110000000110010	11000000110
010111110110001	01011110110
111100110000110	11110010001
110110000001010	11011000000
001111110101100	00111110101
100101010101011	10010100100
111111001000110	11111100001
011111100001100	01111110001
100000011011110	10000001011
101101110110101	10110110111
111110011100010	11111001100
011101111000100	01110111001
110100111100000	11110011100
000111001011101	00011111011
001110001001110	00111001001
100010101100101	11001011101
000000110111000	00000010010
001110010001101	00111000001
010100010010110	00010000011
010010001000000	01001001000
110001010010001	11000101010
000000111101111	00000011101
110000111011100	11000011001
010010001000101	01001001001
101001110111110	00100110111
001001000111000	00100100110
110011010001001	11101100000
111110100011011	11111010010
110010111101000	10001011100
011001101010010	01100111010
011000101100100	01100011101
001001111000001	00100111000
111110100011100	11111010011
110001101000110	11000111001
101010011100000	10101001100
011111100111111	01111110111
111001011001111	11000101001
111110010110000	11111000110
110010101100101	11001011101
010111001100010	01011101100
101100010001000	10110000000
011100011011001	01110001010
111011110011000	11001110010
000100100000101	00010011001
101110011100110	10011001101
111011100010001	11101110010
100101010101011	10010100100
101011000110001	10101100110
101000111001111	10100011001
011011011101100	01111101101
010001111101100	01000111100
000110101010110	00111011011
110110000001101	11011000001
000001011111101	00000101111
001111011010100	00111111011
100111000001001	10011101000
110101100110010	01010110110
010011100010111	01001110010
011010000101011	01101010100
110000111111111	11000011111
111101101111100	11110111111
100001100001111	10000110001
001101010111011	00110101110
011111100100110	01111110101
011101100100010	01110110100
010011011101101	01001101101
111100010101000	11110100100
110000000110010	11000000110
000110010010010	00011000010
001111001001000	00111101001
111010010101111	11001000101
011000011111111	01101001111
110101001011001	11010101010
110011011110001	11101101110
000010100101111	00001010101
100111100010101	10001110011
000000000011110	00000000011
100000011000111	10000001001
001100001000100	00110001011
001011110110101	00111110111
011011110101000	01101110100
101010011101101	10101001001
001110100010010	00111010010
110100010111101	11010000111
000111101101001	00011111100
001100000011111	00110000011
100100001010001	10010001010
101001100000001	10100110000
011001011010100	01100101011
000000011111111	00000001111
011110000100111	01111000101
011101000000100	01110100101
100011010000001	10001101000
101100010000110	10110001001
111100001100011	11110001100
000011111100001	00001111100
000000011010000	00000101010
100000100010011	10000010010
001000101000001	00100011000
111011001111100	10101101111
000001111111100	00000111111
111100001100110	11110001101
010100101011001	01000011010
101100101111010	10110011100
111000001010011	11000001010
101111010100001	10111100100
011111110101101	11111110101
111100010110000	11111000110
111101101111011	11110111110
011010010000111	01101000001
011000000000011	01100000000
100100110011010	10010010010
001101010101110	00110100101
010010110111100	01001010111
001110010110101	00111000110
010110001101010	00011001100
011010101100000	01101011100
000100101000010	00010011000
000010010010000	00001000110
011001000001110	01110100001
001000100100101	00100010101
110011111100111	11001111101
011001101101010	01100110100
000111110100011	00011100100
000100110100111	00011010101
011110000010001	01111000010
111011110111111	11100110111
111010011011110	11101001011
011101110100101	01110110101
111101011001001	11110101000
100001001011011	10000101010
110101100000001	01010110000
010001010011000	01100100010
101001100011010	10100110010
100010110101111	10001011101
010010010001111	01001010001
010001101110011	01000011110
011001001010000	01101101010
111100100011011	11111010010
011000110000111	01100010001
010011101110010	01001111110
001100111010101	00110011011
011100010001100	01110000001
111101110111010	10110110110
110001011010001	11000101010
111100110101100	11110010101
110100110110001	10010010110
001001001011001	00100101010
100011010001101	10001100001
001111001100110	00111101101
111101011111101	11110101111
000001111011110	00010111011
010111110101000	01011110100
010001111101000	01000111100
100000101110101	10000011111
110010101100010	11001011100
011100010110111	01110000111
011010101100000	01101011100
011001011111110	01100101111
000111010010011	00011100011
100110100101100	10011010101
001101011111100	00110101111
011010001001101	01101011001
110010011010000	11001001010
111111001010011	11111101010
111010111000110	11101011001
111100001100001	11110001100
001111110010001	00111110000
001001010111100	00101100111
100100000000100	10010000001
010011011101010	01001101100
110110110111000	11011010110
110110000010100	11011000011
001100100100111	01110010101
101101100001011	10110010000
101111010000101	10111100011
111100000101101	11110000101
001100000101100	00110000101
100110010011110	10011000011
000001010000111	00000100001
010000001100011	01010001100
010000010100010	01000000100
101010010101011	10101000100
100111111101011	10011111110
111010001000000	11101001000
111110011010110	11111001011
001000011000010	00100001000
100101001100101	10010001101
010111111111111	01011111111
000110010111110	00011010111
101111100100100	10111110100
101110000100011	10111000100
010000011011000	01000001010
110111000111111	11010100111
001001000100001	00100100100
000101111110011	00010111110
101000110010111	10100010111
010100000010010	01010000000
110001011001000	11000101000
100111110110111	10011110111
010011010111010	01001100110
101001001011010	10110101010
010000000010111	01001000011
011000100010100	01110010011
011000001101101	01100001101
101101110001110	10110110001
011111001011100	01110101011
101100101000111	10110011001
100001110100101	10000110101
100101010101100	10010100101
100010011100110	10011001101
110001100000101	11000110001
100010111111100	10001011011
101010101110001	10101011100
011110010111111	01110000111
000111011111011	00011101010
100110110000101	10010010001
011101101101000	01110101100
100011010101100	10001101101
011111101000000	01111111000
101101111010100	10110111011
000001110010101	00010110011
010000010111011	01000000110
110011001111111	11001101111
001110100001001	00111010100
011000010000010	01100010000
000000001100110	00000001101
010100001010000	01010001010
001001001000000	00100101000
011001011001010	01100101000
010101100000110	01010110001
011111011000001	01111101000
011100101000110	01110011001
011011000011100	01101100011
001110100110111	00111010111
001110011010000	00111001010
101110111101011	10111011100
100011011100100	10001101101
000010100101000	00001010100
100010100110100	10101010111
010101101001101	01010111001
101011110111110	10101110111
111001110100001	11100110100
011100111011011	01111011010
000010011111100	00001001111
000011110101101	00001110101
101111110110111	10011110111
100111111111100	10011111111
001011001110101	00101001111
010010111110000	01001011110
000110110001011	00011010000
101000111010110	10100011011
010101111101111	01000111101
111011100001000	11101110000
011111000101101	00111100101
011011001011011	01101100010
010101100011111	01010110011
011011011010000	01101101010
011100110011101	01010010011
100001001110110	10000101111
010100111111100	01010011111
101010110001111	10111010001
111101011001001	11110101000
111010000001100	11101000001
011100010001100	01110000001
010001001101100	01000101101
011101001000010	01110101000
001111111010011	00111111010
101101001110111	10110101111
100010001011101	10001001011
110000001001101	11000001001
101100101110100	10110011111
001100110011110	00110010011
000011111011010	00001111010
100011111001010	11001111000
001100111010101	00110011011
100111001001001	10011101000
111110011111011	11111001110
100010100100000	10000010100
001101101110100	00110111101
100000010001100	10000000001
000011000000110	00001100001
000101001110101	00010101111
100011110110100	00001110111
111000010010110	11100000011
001100001101001	00110001110
000000100000110	00000010001
101000111111011	10100011110
011001010110101	01100100111
100001100100101	10000110101
011001100101001	01100110101
