twelvebitinput[12]	zeroes[4]
000111011000	0111
000111011001	0110
000111011010	0110
000111011011	0101
000111011100	0110
000111011101	0101
000111011110	0101
000111011111	0100
000111100000	1000
000111100001	0111
000111100010	0111
000111100011	0110
000111100100	0111
000111100101	0110
000111100110	0110
000111100111	0101
000111101000	0111
000111101001	0110
000111101010	0110
000111101011	0101
000111101100	0110
000111101101	0101
000111101110	0101
000111101111	0100
000111110000	0111
000111110001	0110
000111110010	0110
000111110011	0101
000111110100	0110
000111110101	0101
000111110110	0101
000111110111	0100
000111111000	0110
000111111001	0101
000111111010	0101
000111111011	0100
000111111100	0101
000111111101	0100
000111111110	0100
000111111111	0011
001000000000	1011
001000000001	1010
001000000010	1010
001000000011	1001
001000000100	1010
001000000101	1001
001000000110	1001
001000000111	1000
001000001000	1010
001000001001	1001
001000001010	1001
001000001011	1000
001000001100	1001
001000001101	1000
001000001110	1000
001000001111	0111
001000010000	1010
001000010001	1001
001000010010	1001
001000010011	1000
001000010100	1001
001000010101	1000
001000010110	1000
001000010111	0111
001000011000	1001
001000011001	1000
001000011010	1000
001000011011	0111
001000011100	1000
001000011101	0111
001000011110	0111
001000011111	0110
001000100000	1010
001000100001	1001
001000100010	1001
001000100011	1000
001000100100	1001
001000100101	1000
001000100110	1000
001000100111	0111
001000101000	1001
001000101001	1000
001000101010	1000
001000101011	0111
001000101100	1000
001000101101	0111
001000101110	0111
001000101111	0110
001000110000	1001
001000110001	1000
001000110010	1000
001000110011	0111
001000110100	1000
001000110101	0111
001000110110	0111
001000110111	0110
001000111000	1000
001000111001	0111
001000111010	0111
001000111011	0110
001000111100	0111
001000111101	0110
001000111110	0110
001000111111	0101
001001000000	1010
001001000001	1001
001001000010	1001
001001000011	1000
001001000100	1001
001001000101	1000
001001000110	1000
001001000111	0111
001001001000	1001
001001001001	1000
001001001010	1000
001001001011	0111
001001001100	1000
001001001101	0111
001001001110	0111
001001001111	0110
001001010000	1001
001001010001	1000
001001010010	1000
001001010011	0111
001001010100	1000
001001010101	0111
001001010110	0111
001001010111	0110
001001011000	1000
001001011001	0111
001001011010	0111
001001011011	0110
001001011100	0111
001001011101	0110
001001011110	0110
001001011111	0101
001001100000	1001
001001100001	1000
001001100010	1000
001001100011	0111
001001100100	1000
001001100101	0111
001001100110	0111
001001100111	0110
001001101000	1000
001001101001	0111
001001101010	0111
001001101011	0110
001001101100	0111
001001101101	0110
001001101110	0110
001001101111	0101
001001110000	1000
001001110001	0111
001001110010	0111
001001110011	0110
001001110100	0111
001001110101	0110
001001110110	0110
001001110111	0101
001001111000	0111
001001111001	0110
001001111010	0110
001001111011	0101
001001111100	0110
001001111101	0101
001001111110	0101
001001111111	0100
001010000000	1010
001010000001	1001
001010000010	1001
001010000011	1000
001010000100	1001
001010000101	1000
001010000110	1000
001010000111	0111
001010001000	1001
001010001001	1000
001010001010	1000
001010001011	0111
001010001100	1000
001010001101	0111
001010001110	0111
001010001111	0110
001010010000	1001
001010010001	1000
001010010010	1000
001010010011	0111
001010010100	1000
001010010101	0111
001010010110	0111
001010010111	0110
001010011000	1000
001010011001	0111
001010011010	0111
001010011011	0110
001010011100	0111
001010011101	0110
001010011110	0110
001010011111	0101
001010100000	1001
001010100001	1000
001010100010	1000
001010100011	0111
001010100100	1000
001010100101	0111
001010100110	0111
001010100111	0110
001010101000	1000
001010101001	0111
001010101010	0111
001010101011	0110
001010101100	0111
001010101101	0110
001010101110	0110
001010101111	0101
001010110000	1000
001010110001	0111
001010110010	0111
001010110011	0110
001010110100	0111
001010110101	0110
001010110110	0110
001010110111	0101
001010111000	0111
001010111001	0110
001010111010	0110
001010111011	0101
001010111100	0110
001010111101	0101
001010111110	0101
001010111111	0100
001011000000	1001
001011000001	1000
001011000010	1000
001011000011	0111
001011000100	1000
001011000101	0111
001011000110	0111
001011000111	0110
001011001000	1000
001011001001	0111
001011001010	0111
001011001011	0110
001011001100	0111
001011001101	0110
001011001110	0110
001011001111	0101
001011010000	1000
001011010001	0111
001011010010	0111
001011010011	0110
001011010100	0111
001011010101	0110
001011010110	0110
001011010111	0101
001011011000	0111
001011011001	0110
001011011010	0110
001011011011	0101
001011011100	0110
001011011101	0101
001011011110	0101
001011011111	0100
001011100000	1000
001011100001	0111
001011100010	0111
001011100011	0110
001011100100	0111
001011100101	0110
001011100110	0110
001011100111	0101
001011101000	0111
001011101001	0110
001011101010	0110
001011101011	0101
001011101100	0110
001011101101	0101
001011101110	0101
001011101111	0100
001011110000	0111
001011110001	0110
001011110010	0110
001011110011	0101
001011110100	0110
001011110101	0101
001011110110	0101
001011110111	0100
001011111000	0110
001011111001	0101
001011111010	0101
001011111011	0100
001011111100	0101
001011111101	0100
001011111110	0100
001011111111	0011
001100000000	1010
001100000001	1001
001100000010	1001
001100000011	1000
001100000100	1001
001100000101	1000
001100000110	1000
001100000111	0111
001100001000	1001
001100001001	1000
001100001010	1000
001100001011	0111
001100001100	1000
001100001101	0111
001100001110	0111
001100001111	0110
001100010000	1001
001100010001	1000
001100010010	1000
001100010011	0111
001100010100	1000
001100010101	0111
001100010110	0111
001100010111	0110
001100011000	1000
001100011001	0111
001100011010	0111
001100011011	0110
001100011100	0111
001100011101	0110
001100011110	0110
001100011111	0101
001100100000	1001
001100100001	1000
001100100010	1000
001100100011	0111
001100100100	1000
001100100101	0111
001100100110	0111
001100100111	0110
001100101000	1000
001100101001	0111
001100101010	0111
001100101011	0110
001100101100	0111
001100101101	0110
001100101110	0110
001100101111	0101
001100110000	1000
001100110001	0111
001100110010	0111
001100110011	0110
001100110100	0111
001100110101	0110
001100110110	0110
001100110111	0101
001100111000	0111
001100111001	0110
001100111010	0110
001100111011	0101
001100111100	0110
001100111101	0101
001100111110	0101
001100111111	0100
001101000000	1001
001101000001	1000
001101000010	1000
001101000011	0111
001101000100	1000
001101000101	0111
001101000110	0111
001101000111	0110
001101001000	1000
001101001001	0111
001101001010	0111
001101001011	0110
001101001100	0111
001101001101	0110
001101001110	0110
001101001111	0101
001101010000	1000
001101010001	0111
001101010010	0111
001101010011	0110
001101010100	0111
001101010101	0110
001101010110	0110
001101010111	0101
001101011000	0111
001101011001	0110
001101011010	0110
001101011011	0101
001101011100	0110
001101011101	0101
001101011110	0101
001101011111	0100
001101100000	1000
001101100001	0111
001101100010	0111
001101100011	0110
001101100100	0111
001101100101	0110
001101100110	0110
001101100111	0101
001101101000	0111
001101101001	0110
001101101010	0110
001101101011	0101
001101101100	0110
001101101101	0101
001101101110	0101
001101101111	0100
001101110000	0111
001101110001	0110
001101110010	0110
001101110011	0101
001101110100	0110
001101110101	0101
001101110110	0101
001101110111	0100
001101111000	0110
001101111001	0101
001101111010	0101
001101111011	0100
001101111100	0101
001101111101	0100
001101111110	0100
001101111111	0011
001110000000	1001
001110000001	1000
001110000010	1000
001110000011	0111
001110000100	1000
001110000101	0111
001110000110	0111
001110000111	0110
001110001000	1000
001110001001	0111
001110001010	0111
001110001011	0110
001110001100	0111
001110001101	0110
001110001110	0110
001110001111	0101
001110010000	1000
001110010001	0111
001110010010	0111
001110010011	0110
001110010100	0111
001110010101	0110
001110010110	0110
001110010111	0101
001110011000	0111
001110011001	0110
001110011010	0110
001110011011	0101
001110011100	0110
001110011101	0101
001110011110	0101
001110011111	0100
001110100000	1000
001110100001	0111
001110100010	0111
001110100011	0110
001110100100	0111
001110100101	0110
001110100110	0110
001110100111	0101
001110101000	0111
001110101001	0110
001110101010	0110
001110101011	0101
001110101100	0110
001110101101	0101
001110101110	0101
001110101111	0100
001110110000	0111
001110110001	0110
001110110010	0110
001110110011	0101
001110110100	0110
001110110101	0101
001110110110	0101
001110110111	0100
001110111000	0110
001110111001	0101
001110111010	0101
001110111011	0100
001110111100	0101
001110111101	0100
001110111110	0100
001110111111	0011
001111000000	1000
001111000001	0111
001111000010	0111
001111000011	0110
001111000100	0111
001111000101	0110
001111000110	0110
001111000111	0101
001111001000	0111
001111001001	0110
001111001010	0110
001111001011	0101
001111001100	0110
001111001101	0101
001111001110	0101
001111001111	0100
001111010000	0111
001111010001	0110
001111010010	0110
001111010011	0101
001111010100	0110
001111010101	0101
001111010110	0101
001111010111	0100
001111011000	0110
001111011001	0101
001111011010	0101
001111011011	0100
001111011100	0101
001111011101	0100
001111011110	0100
001111011111	0011
001111100000	0111
001111100001	0110
001111100010	0110
001111100011	0101
001111100100	0110
001111100101	0101
001111100110	0101
001111100111	0100
001111101000	0110
001111101001	0101
001111101010	0101
001111101011	0100
001111101100	0101
001111101101	0100
001111101110	0100
001111101111	0011
001111110000	0110
001111110001	0101
001111110010	0101
001111110011	0100
001111110100	0101
001111110101	0100
001111110110	0100
001111110111	0011
001111111000	0101
001111111001	0100
001111111010	0100
001111111011	0011
001111111100	0100
001111111101	0011
001111111110	0011
001111111111	0010
010000000000	1011
010000000001	1010
010000000010	1010
010000000011	1001
010000000100	1010
010000000101	1001
010000000110	1001
010000000111	1000
010000001000	1010
010000001001	1001
010000001010	1001
010000001011	1000
010000001100	1001
010000001101	1000
010000001110	1000
010000001111	0111
010000010000	1010
010000010001	1001
010000010010	1001
010000010011	1000
010000010100	1001
010000010101	1000
010000010110	1000
010000010111	0111
010000011000	1001
010000011001	1000
010000011010	1000
010000011011	0111
010000011100	1000
010000011101	0111
010000011110	0111
010000011111	0110
010000100000	1010
010000100001	1001
010000100010	1001
010000100011	1000
010000100100	1001
010000100101	1000
010000100110	1000
010000100111	0111
010000101000	1001
010000101001	1000
010000101010	1000
010000101011	0111
010000101100	1000
010000101101	0111
010000101110	0111
010000101111	0110
010000110000	1001
010000110001	1000
010000110010	1000
010000110011	0111
010000110100	1000
010000110101	0111
010000110110	0111
010000110111	0110
010000111000	1000
010000111001	0111
010000111010	0111
010000111011	0110
010000111100	0111
010000111101	0110
010000111110	0110
010000111111	0101
010001000000	1010
010001000001	1001
010001000010	1001
010001000011	1000
010001000100	1001
010001000101	1000
010001000110	1000
010001000111	0111
010001001000	1001
010001001001	1000
010001001010	1000
010001001011	0111
010001001100	1000
010001001101	0111
010001001110	0111
010001001111	0110
010001010000	1001
010001010001	1000
010001010010	1000
010001010011	0111
010001010100	1000
010001010101	0111
010001010110	0111
010001010111	0110
010001011000	1000
010001011001	0111
010001011010	0111
010001011011	0110
010001011100	0111
010001011101	0110
010001011110	0110
010001011111	0101
010001100000	1001
010001100001	1000
010001100010	1000
010001100011	0111
010001100100	1000
010001100101	0111
010001100110	0111
010001100111	0110
010001101000	1000
010001101001	0111
010001101010	0111
010001101011	0110
010001101100	0111
010001101101	0110
010001101110	0110
010001101111	0101
010001110000	1000
010001110001	0111
010001110010	0111
010001110011	0110
010001110100	0111
010001110101	0110
010001110110	0110
010001110111	0101
010001111000	0111
010001111001	0110
010001111010	0110
010001111011	0101
010001111100	0110
010001111101	0101
010001111110	0101
010001111111	0100
010010000000	1010
010010000001	1001
010010000010	1001
010010000011	1000
010010000100	1001
010010000101	1000
010010000110	1000
010010000111	0111
010010001000	1001
010010001001	1000
010010001010	1000
010010001011	0111
010010001100	1000
010010001101	0111
010010001110	0111
010010001111	0110
010010010000	1001
010010010001	1000
010010010010	1000
010010010011	0111
010010010100	1000
010010010101	0111
010010010110	0111
010010010111	0110
010010011000	1000
010010011001	0111
010010011010	0111
010010011011	0110
010010011100	0111
010010011101	0110
010010011110	0110
010010011111	0101
010010100000	1001
010010100001	1000
010010100010	1000
010010100011	0111
010010100100	1000
010010100101	0111
010010100110	0111
010010100111	0110
010010101000	1000
010010101001	0111
010010101010	0111
010010101011	0110
010010101100	0111
010010101101	0110
010010101110	0110
010010101111	0101
010010110000	1000
010010110001	0111
010010110010	0111
010010110011	0110
010010110100	0111
010010110101	0110
010010110110	0110
010010110111	0101
010010111000	0111
010010111001	0110
010010111010	0110
010010111011	0101
010010111100	0110
010010111101	0101
010010111110	0101
010010111111	0100
010011000000	1001
010011000001	1000
010011000010	1000
010011000011	0111
010011000100	1000
010011000101	0111
010011000110	0111
010011000111	0110
010011001000	1000
010011001001	0111
010011001010	0111
010011001011	0110
010011001100	0111
010011001101	0110
010011001110	0110
010011001111	0101
010011010000	1000
010011010001	0111
010011010010	0111
010011010011	0110
010011010100	0111
010011010101	0110
010011010110	0110
010011010111	0101
010011011000	0111
010011011001	0110
010011011010	0110
010011011011	0101
010011011100	0110
010011011101	0101
010011011110	0101
010011011111	0100
010011100000	1000
010011100001	0111
010011100010	0111
010011100011	0110
010011100100	0111
010011100101	0110
010011100110	0110
010011100111	0101
010011101000	0111
010011101001	0110
010011101010	0110
010011101011	0101
010011101100	0110
010011101101	0101
010011101110	0101
010011101111	0100
010011110000	0111
010011110001	0110
010011110010	0110
010011110011	0101
010011110100	0110
010011110101	0101
010011110110	0101
010011110111	0100
010011111000	0110
010011111001	0101
010011111010	0101
010011111011	0100
010011111100	0101
010011111101	0100
010011111110	0100
010011111111	0011
010100000000	1010
010100000001	1001
010100000010	1001
010100000011	1000
010100000100	1001
010100000101	1000
010100000110	1000
010100000111	0111
010100001000	1001
010100001001	1000
010100001010	1000
010100001011	0111
010100001100	1000
010100001101	0111
010100001110	0111
010100001111	0110
010100010000	1001
010100010001	1000
010100010010	1000
010100010011	0111
010100010100	1000
010100010101	0111
010100010110	0111
010100010111	0110
010100011000	1000
010100011001	0111
010100011010	0111
010100011011	0110
010100011100	0111
010100011101	0110
010100011110	0110
010100011111	0101
010100100000	1001
010100100001	1000
010100100010	1000
010100100011	0111
010100100100	1000
010100100101	0111
010100100110	0111
010100100111	0110
010100101000	1000
010100101001	0111
010100101010	0111
010100101011	0110
010100101100	0111
010100101101	0110
010100101110	0110
010100101111	0101
010100110000	1000
010100110001	0111
010100110010	0111
010100110011	0110
010100110100	0111
010100110101	0110
010100110110	0110
010100110111	0101
010100111000	0111
010100111001	0110
010100111010	0110
010100111011	0101
010100111100	0110
010100111101	0101
010100111110	0101
010100111111	0100
010101000000	1001
010101000001	1000
010101000010	1000
010101000011	0111
010101000100	1000
010101000101	0111
010101000110	0111
010101000111	0110
010101001000	1000
010101001001	0111
010101001010	0111
010101001011	0110
010101001100	0111
010101001101	0110
010101001110	0110
010101001111	0101
010101010000	1000
010101010001	0111
010101010010	0111
010101010011	0110
010101010100	0111
010101010101	0110
010101010110	0110
010101010111	0101
010101011000	0111
010101011001	0110
010101011010	0110
010101011011	0101
010101011100	0110
010101011101	0101
010101011110	0101
010101011111	0100
010101100000	1000
010101100001	0111
010101100010	0111
010101100011	0110
010101100100	0111
010101100101	0110
010101100110	0110
010101100111	0101
010101101000	0111
010101101001	0110
010101101010	0110
010101101011	0101
010101101100	0110
010101101101	0101
010101101110	0101
010101101111	0100
010101110000	0111
010101110001	0110
010101110010	0110
010101110011	0101
010101110100	0110
010101110101	0101
010101110110	0101
010101110111	0100
010101111000	0110
010101111001	0101
010101111010	0101
010101111011	0100
010101111100	0101
010101111101	0100
010101111110	0100
010101111111	0011
010110000000	1001
010110000001	1000
010110000010	1000
010110000011	0111
010110000100	1000
010110000101	0111
010110000110	0111
010110000111	0110
010110001000	1000
010110001001	0111
010110001010	0111
010110001011	0110
010110001100	0111
010110001101	0110
010110001110	0110
010110001111	0101
010110010000	1000
010110010001	0111
010110010010	0111
010110010011	0110
010110010100	0111
010110010101	0110
010110010110	0110
010110010111	0101
010110011000	0111
010110011001	0110
010110011010	0110
010110011011	0101
010110011100	0110
010110011101	0101
010110011110	0101
010110011111	0100
010110100000	1000
010110100001	0111
010110100010	0111
010110100011	0110
010110100100	0111
010110100101	0110
010110100110	0110
010110100111	0101
010110101000	0111
010110101001	0110
010110101010	0110
010110101011	0101
010110101100	0110
010110101101	0101
010110101110	0101
010110101111	0100
010110110000	0111
010110110001	0110
010110110010	0110
010110110011	0101
010110110100	0110
010110110101	0101
010110110110	0101
010110110111	0100
010110111000	0110
010110111001	0101
010110111010	0101
010110111011	0100
010110111100	0101
010110111101	0100
010110111110	0100
010110111111	0011
010111000000	1000
010111000001	0111
010111000010	0111
010111000011	0110
010111000100	0111
010111000101	0110
010111000110	0110
010111000111	0101
010111001000	0111
010111001001	0110
010111001010	0110
010111001011	0101
010111001100	0110
010111001101	0101
010111001110	0101
010111001111	0100
010111010000	0111
010111010001	0110
010111010010	0110
010111010011	0101
010111010100	0110
010111010101	0101
010111010110	0101
010111010111	0100
010111011000	0110
010111011001	0101
010111011010	0101
010111011011	0100
010111011100	0101
010111011101	0100
010111011110	0100
010111011111	0011
010111100000	0111
010111100001	0110
010111100010	0110
010111100011	0101
010111100100	0110
010111100101	0101
010111100110	0101
010111100111	0100
010111101000	0110
010111101001	0101
010111101010	0101
010111101011	0100
010111101100	0101
010111101101	0100
010111101110	0100
010111101111	0011
010111110000	0110
010111110001	0101
010111110010	0101
010111110011	0100
010111110100	0101
010111110101	0100
010111110110	0100
010111110111	0011
010111111000	0101
010111111001	0100
010111111010	0100
010111111011	0011
010111111100	0100
010111111101	0011
010111111110	0011
010111111111	0010
011000000000	1010
011000000001	1001
011000000010	1001
011000000011	1000
011000000100	1001
011000000101	1000
011000000110	1000
011000000111	0111
011000001000	1001
011000001001	1000
011000001010	1000
011000001011	0111
011000001100	1000
011000001101	0111
011000001110	0111
011000001111	0110
011000010000	1001
011000010001	1000
011000010010	1000
011000010011	0111
011000010100	1000
011000010101	0111
011000010110	0111
011000010111	0110
011000011000	1000
011000011001	0111
011000011010	0111
011000011011	0110
011000011100	0111
011000011101	0110
011000011110	0110
011000011111	0101
011000100000	1001
011000100001	1000
011000100010	1000
011000100011	0111
011000100100	1000
011000100101	0111
011000100110	0111
011000100111	0110
011000101000	1000
011000101001	0111
011000101010	0111
011000101011	0110
011000101100	0111
011000101101	0110
011000101110	0110
011000101111	0101
011000110000	1000
011000110001	0111
011000110010	0111
011000110011	0110
011000110100	0111
011000110101	0110
011000110110	0110
011000110111	0101
011000111000	0111
011000111001	0110
011000111010	0110
011000111011	0101
011000111100	0110
011000111101	0101
011000111110	0101
011000111111	0100
011001000000	1001
011001000001	1000
011001000010	1000
011001000011	0111
011001000100	1000
011001000101	0111
011001000110	0111
011001000111	0110
011001001000	1000
011001001001	0111
011001001010	0111
011001001011	0110
011001001100	0111
011001001101	0110
011001001110	0110
011001001111	0101
011001010000	1000
011001010001	0111
011001010010	0111
011001010011	0110
011001010100	0111
011001010101	0110
011001010110	0110
011001010111	0101
011001011000	0111
011001011001	0110
011001011010	0110
011001011011	0101
011001011100	0110
011001011101	0101
011001011110	0101
011001011111	0100
011001100000	1000
011001100001	0111
011001100010	0111
011001100011	0110
011001100100	0111
011001100101	0110
011001100110	0110
011001100111	0101
011001101000	0111
011001101001	0110
011001101010	0110
011001101011	0101
011001101100	0110
011001101101	0101
011001101110	0101
011001101111	0100
011001110000	0111
011001110001	0110
011001110010	0110
011001110011	0101
011001110100	0110
011001110101	0101
011001110110	0101
011001110111	0100
011001111000	0110
011001111001	0101
011001111010	0101
011001111011	0100
011001111100	0101
011001111101	0100
011001111110	0100
011001111111	0011
011010000000	1001
011010000001	1000
011010000010	1000
011010000011	0111
011010000100	1000
011010000101	0111
011010000110	0111
011010000111	0110
011010001000	1000
011010001001	0111
011010001010	0111
011010001011	0110
011010001100	0111
011010001101	0110
011010001110	0110
011010001111	0101
011010010000	1000
011010010001	0111
011010010010	0111
011010010011	0110
011010010100	0111
011010010101	0110
011010010110	0110
011010010111	0101
011010011000	0111
011010011001	0110
011010011010	0110
011010011011	0101
011010011100	0110
011010011101	0101
011010011110	0101
011010011111	0100
011010100000	1000
011010100001	0111
011010100010	0111
011010100011	0110
011010100100	0111
011010100101	0110
011010100110	0110
011010100111	0101
011010101000	0111
011010101001	0110
011010101010	0110
011010101011	0101
011010101100	0110
011010101101	0101
011010101110	0101
011010101111	0100
011010110000	0111
011010110001	0110
011010110010	0110
011010110011	0101
011010110100	0110
011010110101	0101
011010110110	0101
011010110111	0100
011010111000	0110
011010111001	0101
011010111010	0101
011010111011	0100
011010111100	0101
011010111101	0100
011010111110	0100
011010111111	0011
011011000000	1000
011011000001	0111
011011000010	0111
011011000011	0110
011011000100	0111
011011000101	0110
011011000110	0110
011011000111	0101
011011001000	0111
011011001001	0110
011011001010	0110
011011001011	0101
011011001100	0110
011011001101	0101
011011001110	0101
011011001111	0100
011011010000	0111
